"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.275",7.84796716056807,8.24935605506512,8.77830643941945,9.41540910968116,10.6636737898872,11.2932118404658,12.569297857643,13.6367047451616,14.7747355958146,15.6397805512889,16.8116494611014,17.6744021341872
"b=0.28",7.94316381370155,8.33969106919219,8.93217890879674,9.64632494854934,10.7570493732971,11.5530191372652,12.7058641530334,13.9606451765701,14.9930166018313,15.9461495190129,17.1489932005927,18.0150909684394
"b=0.285",8.02476403728491,8.46771877909107,9.05802555992279,9.88841518495763,10.8989828351165,11.8045802680957,12.9401927459821,14.2029060314169,15.2469426603294,16.2634702696231,17.4026775338142,18.3555965542071
"b=0.29",8.10262671936466,8.60840833030376,9.23278601488309,10.0843834081996,11.0931062298605,11.9787636661368,13.1555661336947,14.4839855013638,15.5671130889629,16.4947147271547,17.632517915268,18.7480246062819
"b=0.295",8.1817941080939,8.72842219413593,9.41464834962583,10.2845789141004,11.2777632342206,12.0971460098578,13.3515773712278,14.7267593085155,15.6945278318357,16.7879000265892,17.8309495071058,19.0301550631479
"b=0.3",8.29133632284815,8.87574297805871,9.5164754037303,10.4360121987512,11.4794524801606,12.3670905868835,13.6206628668892,14.8937103008015,15.9819167228923,17.1215930544828,18.2387629311158,19.3867986166755
"b=0.305",8.34753107576976,8.95735534694015,9.6772749289377,10.6375958905009,11.7064322264293,12.6182587323153,13.9188064161088,15.2107232243834,16.3071682219,17.4609582024555,18.5942218264453,19.7248524907071
"b=0.31",8.42493654902077,9.09937365609951,9.88362656324755,10.7792020616606,11.8743116837149,12.8368752475275,14.1850946760947,15.4109640254373,16.6036709931597,17.8233245440301,18.8411297293899,19.928154195996
"b=0.315",8.50770256944348,9.22722104309388,10.0000640970473,10.9418620197916,11.9565336264758,13.0288793790374,14.4590165983218,15.6136028445114,16.8203297792049,18.0989761873143,19.0705554015003,20.0940515077235
"b=0.32",8.59387062396328,9.3301224103643,10.10386636875,11.2156147635355,12.1832196878765,13.2579654835085,14.6343329781042,15.8013833230416,17.0486730017971,18.2265021473247,19.3147906002695,20.4672198702215
"b=0.325",8.68402504255332,9.47056748540602,10.3367143991808,11.4041709336329,12.3507042099593,13.5471567828792,14.8885145309145,16.0451811695016,17.3554319121715,18.5380411377722,19.6496827555982,20.8898117416878
"b=0.33",8.72933630397535,9.55625970299015,10.4682156697473,11.6233627785745,12.6822899902406,13.7703284094477,15.1228513346773,16.3119453927783,17.5587903565597,18.8322242297437,19.9933026314389,21.176716559776
"b=0.335",8.78828743175143,9.73591786866691,10.5608767530145,11.7982691370928,12.9227324219494,14.0097613109001,15.2405847134467,16.6059017742421,17.8794451830461,19.0957411923936,20.3671228169115,21.5451610403079
"b=0.34",8.91165239124172,9.83386309662889,10.6412779736459,12.0274086916852,13.1206100027843,14.1867773391354,15.4738650495395,16.8031042214969,18.107741045575,19.2945420770979,20.6737689900014,21.7164201043484
"b=0.345",9.06397320659867,9.99486638095176,10.8233144448092,12.170293493531,13.3193062040444,14.3380566285033,15.7322313536963,17.0305047732555,18.4690226329671,19.4973165044344,20.7918944267928,22.0318216940063
"b=0.35",9.13663898009487,10.1116044800982,10.9928023613915,12.3338416839175,13.5582053976721,14.5729380761428,15.8748204020789,17.2040354405919,18.5954352201083,19.8062279300218,21.126778479319,22.2728119748588
"b=0.355",9.20713865956533,10.2294530533406,11.1294900079205,12.4774817543169,13.6995035450922,14.8077041503271,16.1670399317016,17.4948696493388,18.8318360096904,20.1495232292182,21.4788874452553,22.6342409697467
"b=0.36",9.27257491627312,10.3485321527912,11.2530049054483,12.6925660430072,13.8523991245102,14.9164685849667,16.4151969436444,17.782968398473,19.1102992631825,20.4991421926871,21.7060263854657,22.8479676050318
