"","Bartlett","Bartlett_lug"
"sim47",0.0952279626660621,0.0856941704500949
"sim48",0.431955591528198,0.381872922369761
"sim49",0.00473139417406388,0.00456666753988144
"sim50",7.05815290962875,7.10536407394075
"sim51",1.91183097076234,2.67965033276095
"sim52",0.967748419749335,0.947023348826855
"sim53",0.000837006416677707,0.000780342987758084
"sim54",0.641085259349077,0.721247770425209
"sim55",0.374217315981223,0.360206094091645
"sim56",3.09754649891982,3.26202760096024
"sim57",0.517992769624403,0.668459651579001
"sim58",0.567303811613293,0.533194080391981
"sim59",1.39392213024936,1.32044520633173
"sim60",0.0635287054354347,0.0696739849956658
"sim61",0.27536695417571,0.262789200729742
"sim62",0.0869177474774496,0.0881343980683178
"sim63",4.39989697280925,4.4422193932507
"sim64",0.000211399095032591,0.000194446924178413
"sim65",2.91916261464232,3.39653369979839
"sim66",1.75790728785912,1.84761997500917
"sim67",0.16461396111148,0.17682831941058
"sim68",0.520053388595556,0.528229133233732
"sim69",0.666347937888084,0.746951555602956
"sim70",1.66823982404506,1.95517946298562
"sim71",0.40989737274184,0.500324077093845
"sim72",0.145522729811363,0.159253449887926
"sim73",1.58833913174466,2.37253947132957
"sim74",1.03585175439776,1.18962392702924
"sim75",0.000720485166733945,0.00100837593234464
"sim76",0.236771678803369,0.22462064706278
"sim77",3.36799235447296,3.85622377075131
"sim78",0.0693990042465778,0.0642018878479467
"sim79",0.00158082415307673,0.00168533382789671
"sim80",1.74955764834466,1.62284775536744
"sim81",5.37469680252782,6.07650328481599
"sim82",0.00257934048682791,0.0024728474500505
"sim83",0.171508011927772,0.167658303903237
"sim84",0.131740881421726,0.158031185087282
"sim85",1.02441125553565,1.4158898892514
"sim86",0.615946110731825,0.547834226619392
"sim87",1.70323350322435,2.05872431743168
"sim88",1.47463713578831,1.40162693561667
"sim89",0.460569564343209,0.486938430679841
"sim90",5.09639051835707,6.30986551416125
"sim91",0.388505825829811,0.518215554647852
"sim92",1.94604084155183,1.99887611121311
"sim93",0.155983243136884,0.161351000213131
"sim94",0.271218272320304,0.238085360480655
"sim95",0.223071741221229,0.190800583102242
"sim96",0.217520529969264,0.202729313473642
"sim97",0.352004896873075,0.352236584790557
"sim98",0.209320590253869,0.201660667498763
"sim99",0.167032867776408,0.169505684783779
"sim100",0.00652918519592563,0.0103155685964
"sim101",0.274341231803738,0.269176194977203
"sim102",0.0512225039055483,0.0537998759687692
"sim103",0.252590099538775,0.265894480159819
"sim104",1.15688865553455,1.45835391901338
"sim105",0.559086282561214,0.68730457039522
"sim106",0.04941021326827,0.0515970777008306
"sim107",0.233353022176804,0.206653875840967
"sim108",4.22912403992658,3.89546861407951
"sim109",0.140264156809985,0.148886866899833
"sim110",0.141107010567599,0.143814110791109
"sim111",1.45701083424025,1.38052225832119
"sim112",0.830024742145313,1.02560284417843
"sim113",0.336878936945887,0.366567592389698
"sim114",0.403911936885374,0.396100986897403
"sim115",4.93752361975972,5.55218308426076
"sim116",0.214439838233998,0.189600528981623
"sim117",1.26559270924026,1.28922925731392
"sim118",0.881272555467452,1.01650523680651
"sim119",0.432307461504875,0.501214488375286
"sim120",3.49380691171954,3.50479457691777
"sim121",0.0103496410326856,0.00945242399400886
"sim122",1.38269702748148,1.28710524494956
"sim123",0.023728391265932,0.0236408494477605
"sim124",0.914742361756962,0.980602722450135
"sim125",0.775418338421213,0.733251891029217
"sim126",2.86135652033269,2.7538906019475
"sim127",1.45837969299093,1.63060728296951
"sim128",0.0327297539316161,0.030019251432743
"sim129",0.279585704571698,0.260402998034858
"sim130",2.86251083514229,3.06199291419876
"sim131",0.139502180432817,0.151415628942692
"sim132",0.00826076585201049,0.00870702792680511
"sim133",1.57843912214996,2.25728132182036
"sim134",4.68637659172314,5.41692821141323
"sim135",0.0692900880382618,0.0695720479033805
"sim136",0.00234948291863551,0.00224039581825871
"sim137",0.0848975915654154,0.0735387589369793
"sim138",0.865823239502012,0.911842516700195
"sim139",0.582270244247662,0.471576794795915
"sim140",1.9574582209578,1.90245848663574
"sim141",0.130971406767267,0.143421312879612
"sim142",0.0742595713088581,0.066711124775152
"sim143",0.63137316630667,0.606184653121384
"sim144",0.180498326602162,0.19572059813862
"sim145",1.54047607131733,1.64888379713117
"sim146",2.3950534513796,2.50794540620417
"sim147",0.976854752492891,1.00792575360132
